algo,seed,rollout_mean
ddpg,7,-30.457604142112256
ddpg,11,-34.35995209359557
ddpg,19,-32.38817233007864
td3,7,-30.457604142112256
td3,11,-34.35995209359557
td3,19,-34.399265624006894
sac,7,-33.26687699216482
sac,11,-31.530709592018983
sac,19,-33.43390938712328
learned_model,7,-30.457604142112256
learned_model,11,-30.174771195202222
learned_model,19,-30.162077560094048
belief_update,7,-31.86064855742897
belief_update,11,-31.09895632530696
belief_update,19,-30.162077560094048
rnn_rl,7,-34.59133788187173
rnn_rl,11,-34.35995209359557
rnn_rl,19,-30.84612888005055
