algo,seed,rollout_mean,rollout_std
policy_iteration,7,-30.457604142112256,6.215243599410251
policy_iteration,11,-30.174771195202222,6.326847514696294
policy_iteration,19,-30.162077560094048,6.030057524032603
value_iteration,7,-30.457604142112256,6.215243599410251
value_iteration,11,-30.174771195202222,6.326847514696294
value_iteration,19,-30.162077560094048,6.030057524032603
mc_control,7,-31.66915821192278,6.353902210860606
mc_control,11,-30.448597268481112,6.365985430288852
mc_control,19,-32.091304730185854,5.920863206786671
td0,7,-30.457604142112256,6.215243599410251
td0,11,-30.174771195202222,6.326847514696294
td0,19,-30.162077560094048,6.030057524032603
td_lambda,7,-30.457604142112256,6.215243599410251
td_lambda,11,-30.174771195202222,6.326847514696294
td_lambda,19,-30.162077560094048,6.030057524032603
sarsa,7,-31.096383604007677,6.089662507799588
sarsa,11,-32.783110928856225,6.02445692642895
sarsa,19,-32.17743499376489,6.1156471063414175
expected_sarsa,7,-31.377974709047336,6.096128382774535
expected_sarsa,11,-30.807088784887828,6.142870933271062
expected_sarsa,19,-30.80265631370483,6.0823205604062975
sarsa_lambda,7,-31.040303410322792,6.333495796240604
sarsa_lambda,11,-30.556428296951555,6.228144511083381
sarsa_lambda,19,-30.83582628382348,5.839385273171204
q_learning,7,-31.040303410322792,6.333495796240604
q_learning,11,-31.795681313542012,6.227173110831001
q_learning,19,-32.38817233007864,5.902021075233094
q_lambda,7,-31.370778087956154,6.196391999603909
q_lambda,11,-31.70874629814266,6.100681376883699
q_lambda,19,-30.84612888005055,6.001026719254679
dyna_q,7,-34.24505736255624,5.799922365775424
dyna_q,11,-33.36190054681314,5.935021767253887
dyna_q,19,-31.536573623654164,6.049860205083562
linear_fa,7,-34.59133788187173,5.761738159044194
linear_fa,11,-34.35995209359557,5.904159670352881
linear_fa,19,-34.399265624006894,5.6301612328587245
semi_gradient_td,7,-34.59133788187173,5.761738159044194
semi_gradient_td,11,-34.35995209359557,5.904159670352881
semi_gradient_td,19,-34.399265624006894,5.6301612328587245
gradient_td,7,-34.59133788187173,5.761738159044194
gradient_td,11,-34.35995209359557,5.904159670352881
gradient_td,19,-34.399265624006894,5.6301612328587245
approx_q_learning,7,-30.457604142112256,6.215243599410251
approx_q_learning,11,-34.35995209359557,5.904159670352881
approx_q_learning,19,-30.162077560094048,6.030057524032603
dqn,7,-31.040303410322792,6.333495796240604
dqn,11,-31.082223444878707,6.185001219412192
dqn,19,-31.124780152539504,6.139672303270127
double_dqn,7,-30.457604142112256,6.215243599410251
double_dqn,11,-31.028714183897392,6.22078797194517
double_dqn,19,-32.38817233007864,5.902021075233094
dueling_dqn,7,-31.86064855742897,6.2391272615819275
dueling_dqn,11,-32.093720958710826,6.180259275387982
dueling_dqn,19,-31.45391746395276,5.911617642032918
reinforce,7,-30.75464079114586,6.216762981256497
reinforce,11,-31.09895632530696,6.2991019176930925
reinforce,19,-33.43272997100813,5.956376512103447
a2c,7,-30.457604142112256,6.215243599410251
a2c,11,-32.719845871856954,6.331156043912975
a2c,19,-30.565304172463094,5.948666026374248
a3c,7,-30.457604142112256,6.215243599410251
a3c,11,-32.38344893811405,6.31856648663324
a3c,19,-30.565304172463094,5.948666026374248
ppo,7,-30.75464079114586,6.216762981256497
ppo,11,-33.41760034971148,6.233848022438097
ppo,19,-33.03978884062246,5.946034634078144
trpo,7,-32.46658612151087,6.4397873285125256
trpo,11,-31.946523064626433,6.173466521672373
trpo,19,-32.70443676064746,5.7941225896216695
ddpg,7,-34.59133788187173,5.761738159044194
ddpg,11,-34.35995209359557,5.904159670352881
ddpg,19,-34.399265624006894,5.6301612328587245
td3,7,-34.59133788187173,5.761738159044194
td3,11,-32.40492197520054,6.207698953639663
td3,19,-34.399265624006894,5.6301612328587245
sac,7,-31.899651966324154,5.969644988578775
sac,11,-33.650835442113745,6.1310357315819495
sac,19,-33.686165754754875,5.82054840563095
learned_model,7,-30.457604142112256,6.215243599410251
learned_model,11,-30.174771195202222,6.326847514696294
learned_model,19,-30.162077560094048,6.030057524032603
belief_update,7,-30.75464079114586,6.216762981256497
belief_update,11,-30.174771195202222,6.326847514696294
belief_update,19,-31.425944274161637,6.145919213683006
rnn_rl,7,-33.84056592679906,5.728036561068125
rnn_rl,11,-34.35995209359557,5.904159670352881
rnn_rl,19,-32.34117479640514,5.841301855364809
