algo,seed,rollout_mean
double_dqn,7,-30.79132444644598
double_dqn,11,-30.174771195202222
double_dqn,19,-30.162077560094048
dueling_dqn,7,-31.635271777933323
dueling_dqn,11,-31.66615847925827
dueling_dqn,19,-30.162077560094048
reinforce,7,-30.75464079114586
reinforce,11,-31.09895632530696
reinforce,19,-33.43272997100813
a2c,7,-30.457604142112256
a2c,11,-32.719845871856954
a2c,19,-30.565304172463094
a3c,7,-30.457604142112256
a3c,11,-32.719845871856954
a3c,19,-30.162077560094048
ppo,7,-30.75464079114586
ppo,11,-32.48457947456756
ppo,19,-33.03978884062246
trpo,7,-32.46658612151087
trpo,11,-31.946523064626433
trpo,19,-32.70443676064746
