episode,behavior_policy,trajectory_return,trajectory_length,ended_in_terminal_state
0,random_policy,-35.37846222289786,30,0
1,conservative_policy,-35.232324998716344,30,0
2,aggressive_policy,-36.25360359300145,30,0
3,v2_tabular_q_policy,-35.9351720559916,30,0
4,v2_dqn_policy,-39.653631658516254,30,0
5,v2_double_q_policy,-41.44054480761939,30,0
6,random_policy,-23.920070381155277,30,0
7,conservative_policy,-44.02138634821968,30,0
8,aggressive_policy,-24.991870436717466,30,0
9,v2_tabular_q_policy,-35.45223844602072,30,0
10,v2_dqn_policy,-38.60647871579151,30,0
11,v2_double_q_policy,-27.333728768412637,30,0
12,random_policy,-36.10692289797421,30,0
13,conservative_policy,-43.538452738248786,30,0
14,aggressive_policy,-33.28552148442913,30,0
15,v2_tabular_q_policy,-41.5244660706187,30,0
16,v2_dqn_policy,-39.909963997657655,30,0
17,v2_double_q_policy,-35.531947504764005,30,0
18,random_policy,-21.708298602155722,30,0
19,conservative_policy,-35.43418440296321,30,0
20,aggressive_policy,-30.296865694392924,30,0
21,v2_tabular_q_policy,-32.53093178622079,30,0
22,v2_dqn_policy,-27.756139844554745,30,0
23,v2_double_q_policy,-31.990089173068835,30,0
24,random_policy,-22.31004124308879,30,0
25,conservative_policy,-32.939479013992774,30,0
26,aggressive_policy,-36.591221654925825,30,0
27,v2_tabular_q_policy,-27.40390294635555,30,0
28,v2_dqn_policy,-21.6792277680033,30,0
29,v2_double_q_policy,-33.78305192110621,30,0
30,random_policy,-33.23561623817429,30,0
31,conservative_policy,-29.780554292268477,30,0
32,aggressive_policy,-37.569565566688375,30,0
33,v2_tabular_q_policy,-29.623466965222413,30,0
34,v2_dqn_policy,-33.66424289014401,30,0
35,v2_double_q_policy,-37.34694383499115,30,0
36,random_policy,-30.417534129601968,30,0
37,conservative_policy,-36.25473607485845,30,0
38,aggressive_policy,-34.287358879107366,30,0
39,v2_tabular_q_policy,-34.62535443498406,30,0
40,v2_dqn_policy,-30.550845233525173,30,0
41,v2_double_q_policy,-37.10610122183919,30,0
42,random_policy,-45.23339079234294,30,0
43,conservative_policy,-41.35641202756115,30,0
44,aggressive_policy,-23.541609706078926,30,0
45,v2_tabular_q_policy,-37.21351596775416,30,0
46,v2_dqn_policy,-39.316013596591894,30,0
47,v2_double_q_policy,-38.54409677771589,30,0
48,random_policy,-31.6788116513354,30,0
49,conservative_policy,-37.727030387686774,30,0
50,aggressive_policy,-27.666401647744976,30,0
51,v2_tabular_q_policy,-39.731714839640254,30,0
52,v2_dqn_policy,-23.040505289736732,30,0
53,v2_double_q_policy,-31.909014967344824,30,0
54,random_policy,-32.058520710078675,30,0
55,conservative_policy,-30.28698138515504,30,0
56,aggressive_policy,-20.226352645213243,30,0
57,v2_tabular_q_policy,-27.72320623458386,30,0
58,v2_dqn_policy,-34.397271253860055,30,0
59,v2_double_q_policy,-44.18981788522954,30,0
60,random_policy,-39.337669684829315,30,0
61,conservative_policy,-35.74830898197189,30,0
62,aggressive_policy,-41.40226651153551,30,0
63,v2_tabular_q_policy,-36.431947504764025,30,0
64,v2_dqn_policy,-34.880204863830926,30,0
65,v2_double_q_policy,-31.815347306486213,30,0
66,random_policy,-30.79724318834525,30,0
67,conservative_policy,-29.758520710078695,30,0
68,aggressive_policy,-31.96000262037321,30,0
69,v2_tabular_q_policy,-34.43801911326686,30,0
70,v2_dqn_policy,-39.20499680549698,30,0
71,v2_double_q_policy,-47.753709799114475,30,0
72,random_policy,-29.535965666611826,30,0
73,conservative_policy,-43.043042436457114,30,0
74,aggressive_policy,-24.193352347011995,30,0
75,v2_tabular_q_policy,-32.312122755258606,30,0
76,v2_dqn_policy,-31.429189145287733,30,0
77,v2_double_q_policy,-31.34625553531686,30,0
78,random_policy,-43.80787192828703,30,0
79,conservative_policy,-39.52592597134458,30,0
80,aggressive_policy,-48.178096181313386,30,0
81,v2_tabular_q_policy,-30.61000262037321,30,0
82,v2_dqn_policy,-41.516768584496546,30,0
83,v2_double_q_policy,-36.56537537200101,30,0
84,random_policy,-39.78630453784857,30,0
85,conservative_policy,-40.88595510941106,30,0
86,aggressive_policy,-27.37431065092607,30,0
87,v2_tabular_q_policy,-30.544018637117656,30,0
88,v2_dqn_policy,-25.328783585820613,30,0
89,v2_double_q_policy,-45.75295481120981,30,0
90,random_policy,-38.007466368819905,30,0
91,conservative_policy,-34.760408179840354,30,0
92,aggressive_policy,-24.71079623099345,30,0
93,v2_tabular_q_policy,-37.71711801293407,30,0
94,v2_dqn_policy,-28.35009024562052,30,0
95,v2_double_q_policy,-36.56537537200101,30,0
96,random_policy,-27.435210678707165,30,0
97,conservative_policy,-33.40037904177386,30,0
98,aggressive_policy,-34.96113510223021,30,0
99,v2_tabular_q_policy,-26.62916107977292,30,0
100,v2_dqn_policy,-37.563893461706485,30,0
101,v2_double_q_policy,-42.795889493732375,30,0
102,random_policy,-26.833468037774097,30,0
103,conservative_policy,-43.178801094134634,30,0
104,aggressive_policy,-27.835210678707163,30,0
105,v2_tabular_q_policy,-34.969304836049844,30,0
106,v2_dqn_policy,-36.94644957772503,30,0
107,v2_double_q_policy,-32.90939246129715,30,0
108,random_policy,-32.058520710078675,30,0
109,conservative_policy,-38.06464844961115,30,0
110,aggressive_policy,-44.7175235724012,30,0
111,v2_tabular_q_policy,-37.512150820773414,30,0
112,v2_dqn_policy,-42.11071898556231,30,0
113,v2_double_q_policy,-40.096216912601285,30,0
114,random_policy,-33.06680720721211,30,0
115,conservative_policy,-34.400756535726195,30,0
116,aggressive_policy,-21.687630166946672,30,0
117,v2_tabular_q_policy,-31.471396905420423,30,0
118,v2_dqn_policy,-38.66427095565881,30,0
119,v2_double_q_policy,-34.43947901399275,30,0
120,random_policy,-38.66700124962026,30,0
121,conservative_policy,-28.150467739572854,30,0
122,aggressive_policy,-31.791193589411023,30,0
123,v2_tabular_q_policy,-37.790117238583626,30,0
124,v2_dqn_policy,-32.02770723499321,30,0
125,v2_double_q_policy,-29.459625126420892,30,0
126,random_policy,-22.088007660899002,30,0
127,conservative_policy,-26.296488200440596,30,0
128,aggressive_policy,-23.8792277680033,30,0
129,v2_tabular_q_policy,-33.107533057050276,30,0
130,v2_dqn_policy,-38.27342834250685,30,0
131,v2_double_q_policy,-37.187175427563204,30,0
132,random_policy,-34.38130928017311,30,0
133,conservative_policy,-30.10715556309797,30,0
134,aggressive_policy,-20.70928625518412,30,0
135,v2_tabular_q_policy,-31.80852071007868,30,0
136,v2_dqn_policy,-31.096138772003062,30,0
137,v2_double_q_policy,-25.343990571602866,30,0
138,random_policy,-31.13486125026963,30,0
139,conservative_policy,-29.139828442430304,30,0
140,aggressive_policy,-22.688007660899,30,0
141,v2_tabular_q_policy,-33.59046666702116,30,0
142,v2_dqn_policy,-31.766807207212103,30,0
143,v2_double_q_policy,-29.575326369469284,30,0
144,random_policy,-24.95474663205922,30,0
145,conservative_policy,-30.780931786220812,30,0
146,aggressive_policy,-21.900506362288425,30,0
147,v2_tabular_q_policy,-30.550845233525195,30,0
148,v2_dqn_policy,-37.45287667061159,30,0
149,v2_double_q_policy,-46.32673103433267,30,0
150,random_policy,-43.31714607844886,30,0
151,conservative_policy,-41.886332603363385,30,0
152,aggressive_policy,-22.530215421031706,30,0
153,v2_tabular_q_policy,-20.317455989003747,30,0
154,v2_dqn_policy,-33.7798273698786,30,0
155,v2_double_q_policy,-25.989400873394537,30,0
156,random_policy,-41.92915052257215,30,0
157,conservative_policy,-47.347660200180236,30,0
158,aggressive_policy,-34.456167910069546,30,0
159,v2_tabular_q_policy,-30.967794860240495,30,0
160,v2_dqn_policy,-37.935810280582466,30,0
161,v2_double_q_policy,-31.33523874422197,30,0
162,random_policy,-32.16953750117357,30,0
163,conservative_policy,-38.53656526848714,30,0
164,aggressive_policy,-36.59122165492582,30,0
165,v2_tabular_q_policy,-33.406167910069534,30,0
166,v2_dqn_policy,-41.796594406553616,30,0
167,v2_double_q_policy,-29.126691516450016,30,0
168,random_policy,-27.488435229934765,30,0
169,conservative_policy,-29.791571083363372,30,0
170,aggressive_policy,-39.07491025280137,30,0
171,v2_tabular_q_policy,-31.266429713259782,30,0
172,v2_dqn_policy,-37.41401022502026,30,0
173,v2_double_q_policy,-37.428018040715166,30,0
174,random_policy,-42.65761119764849,30,0
175,conservative_policy,-33.31014744920183,30,0
176,aggressive_policy,-20.75481332028959,30,0
177,v2_tabular_q_policy,-29.988085801497224,30,0
178,v2_dqn_policy,-32.307533057050286,30,0
179,v2_double_q_policy,-36.96994306064071,30,0
180,random_policy,-30.24872509863978,30,0
181,conservative_policy,-32.78168677412548,30,0
182,aggressive_policy,-28.285093915393368,30,0
183,v2_tabular_q_policy,-27.066779141697303,30,0
184,v2_dqn_policy,-33.33119251685933,30,0
185,v2_double_q_policy,-33.6909609242873,30,0
186,random_policy,-43.86109647951463,30,0
187,conservative_policy,-39.222818183430775,30,0
188,aggressive_policy,-30.645500547412187,30,0
189,v2_tabular_q_policy,-28.470264423563435,30,0
190,v2_dqn_policy,-38.69400202397072,30,0
191,v2_double_q_policy,-30.460002620373217,30,0
192,random_policy,-27.925936528545336,30,0
193,conservative_policy,-36.884445133601744,30,0
194,aggressive_policy,-24.362161377974182,30,0
195,v2_tabular_q_policy,-35.29258680190656,30,0
196,v2_dqn_policy,-41.38225831048597,30,0
197,v2_double_q_policy,-35.18799710369822,30,0
198,random_policy,-50.31646923114241,30,0
199,conservative_policy,-33.72552041187745,30,0
