state,action,transition_mae,transition_mse,reward_mae,transition_kl
0,0,6.489548481924956e-13,5.288916136985699e-25,0.0,-1.589626769448364e-16
0,1,6.787608669567291e-13,6.251285889937389e-25,1.3877787807814457e-17,-8.590410517611884e-17
0,2,7.110596833559413e-13,7.464092429306167e-25,0.0,-1.1748291877878884e-16
1,0,3.821526428637867e-13,1.5815418270050976e-25,0.0,-7.84612037671933e-17
1,1,3.2767538682421105e-13,1.292382741747467e-25,2.220446049250313e-16,-1.4102793172168205e-16
1,2,2.6867050251233593e-13,1.2402144788611197e-25,2.220446049250313e-16,-7.168439884503783e-17
2,0,3.838335899120082e-13,2.5160929905520675e-25,0.0,-1.4565141800047905e-18
2,1,3.6795219648944055e-13,1.897308655668791e-25,4.440892098500626e-16,-9.302444252700002e-17
2,2,3.6212005616320653e-13,1.4651299833705325e-25,0.0,-1.0958755949440082e-16
3,0,4.940371028938628e-13,3.1150958730408863e-25,4.440892098500626e-16,2.401464020819929e-16
3,1,4.023083949311612e-13,2.3102787229715438e-25,2.220446049250313e-16,1.2392335564884918e-16
3,2,3.2086139301057415e-13,1.7086094905027074e-25,0.0,-7.620404186659005e-18
