algo,seed,rollout_mean
td_n_forward,7,-32.513405521625884
td_n_forward,11,-32.30078317105733
td_n_forward,19,-34.399265624006894
td_n_backward,7,-34.59133788187173
td_n_backward,11,-34.35995209359557
td_n_backward,19,-34.399265624006894
td_lambda_forward,7,-30.457604142112256
td_lambda_forward,11,-30.807088784887828
td_lambda_forward,19,-30.162077560094048
td_lambda_backward,7,-30.457604142112256
td_lambda_backward,11,-30.807088784887828
td_lambda_backward,19,-30.162077560094048
sarsa_n_forward,7,-31.581279124028573
sarsa_n_forward,11,-33.64501782783888
sarsa_n_forward,19,-30.80265631370483
sarsa_n_backward,7,-31.096383604007677
sarsa_n_backward,11,-31.35477120135298
sarsa_n_backward,19,-32.05083408983196
sarsa_lambda_forward,7,-31.635271777933323
sarsa_lambda_forward,11,-31.815702724095466
sarsa_lambda_forward,19,-31.40380891236731
sarsa_lambda_backward,7,-32.779435399674384
sarsa_lambda_backward,11,-33.41760034971148
sarsa_lambda_backward,19,-30.84612888005055
