feature,risk_lift_lt30,protective_lift_no,total_saliency
number_inpatient,0.032842616119717734,0.05948931068221127,0.092331926801929
num_medications,0.017969023065685825,0.02342067382655924,0.041389696892245066
insurance,0.011103362725114321,0.029316405968852807,0.04041976869396713
number_diagnoses,0.015094287191448324,0.0227270239753451,0.03782131116679342
discharge_location,0.014816851650684495,0.020379295821500366,0.03519614747218486
admission_location,0.00531386040113711,0.02564673060617812,0.03096059100731523
num_lab_procedures,0.016430554789107092,0.013648778145205584,0.030079332934312676
age,0.007485866809236364,0.022218589900844094,0.029704456710080457
admission_type,0.010447590123799432,0.01870335010289282,0.029150940226692252
race,0.006751765151372304,0.01770244529121514,0.024454210442587443
marital_status,0.00958022671545565,0.011975990567865686,0.021556217283321334
number_emergency,0.006171410293023905,0.012516208488370015,0.01868761878139392
time_in_hospital,0.012583925685722325,0.005038581208804705,0.017622506894527032
hospital_expire_flag,0.004314705573563176,0.012708993317658734,0.017023698891221913
gender,0.007675364711024357,0.0028228512906181857,0.010498216001642543
num_procedures,0.0014260627647313148,0.005345957109887401,0.006772019874618717
language,0.0011000637807711787,0.00406289041398682,0.005162954194757999
number_outpatient,0.0,0.0,0.0
